,name,country_code,pct_agreement_w_usa,pct_agreement_w_china,pct_agreement_w_russia,cluster,period,pct_agreement_w_cccp
103,CHINA,CHN,38.05,100.0,76.01,2,1991-2025,
104,CÔTE D'IVOIRE,CIV,47.47,74.07,63.95,2,1991-2025,
105,CAMEROON,CMR,43.07,65.31,56.82,2,1991-2025,
106,CONGO,COG,34.04,68.47,58.33,2,1991-2025,
107,COLOMBIA,COL,48.95,81.53,71.95,2,1991-2025,
108,CABO VERDE,CPV,43.5,76.72,65.63,2,1991-2025,
109,COSTA RICA,CRI,60.13,77.31,69.97,2,1991-2025,
110,CUBA,CUB,32.75,87.25,72.2,2,1991-2025,
111,DJIBOUTI,DJI,43.67,84.68,70.68,2,1991-2025,
112,DOMINICAN REPUBLIC,DOM,48.32,71.24,64.23,2,1991-2025,
113,ALGERIA,DZA,38.86,88.88,73.03,2,1991-2025,
114,ECUADOR,ECU,50.38,83.6,73.61,2,1991-2025,
115,EGYPT,EGY,43.16,87.69,74.52,2,1991-2025,
116,ERITREA,ERI,39.66,77.75,68.7,2,1991-2025,
117,ETHIOPIA,ETH,38.79,80.89,70.9,2,1991-2025,
118,FIJI,FJI,45.33,67.69,62.67,2,1991-2025,
119,GABON,GAB,35.13,68.92,59.44,2,1991-2025,
120,GHANA,GHA,44.2,79.25,67.57,2,1991-2025,
121,GUINEA,GIN,40.3,78.18,65.65,2,1991-2025,
122,GUINEA-BISSAU,GNB,33.47,63.22,52.88,2,1991-2025,
123,GRENADA,GRD,42.33,70.72,62.38,2,1991-2025,
124,GUATEMALA,GTM,58.03,75.13,68.31,2,1991-2025,
125,GUYANA,GUY,50.79,84.69,73.62,2,1991-2025,
126,HAITI,HTI,49.63,68.86,61.13,2,1991-2025,
127,INDONESIA,IDN,42.97,87.78,73.6,2,1991-2025,
128,INDIA,IND,40.55,83.84,73.56,2,1991-2025,
129,IRAN (ISLAMIC REPUBLIC OF),IRN,36.69,83.57,70.73,2,1991-2025,
130,JAMAICA,JAM,51.26,83.67,74.3,2,1991-2025,
131,JORDAN,JOR,43.94,86.15,71.03,2,1991-2025,
132,KAZAKHSTAN,KAZ,54.03,77.86,77.51,2,1991-2025,
133,KENYA,KEN,40.23,80.75,68.87,2,1991-2025,
134,KYRGYZSTAN,KGZ,38.59,68.28,65.02,2,1991-2025,
135,CAMBODIA,KHM,39.87,76.42,66.77,2,1991-2025,
136,KUWAIT,KWT,47.94,86.88,73.65,2,1991-2025,
137,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LAO,31.97,85.5,70.25,2,1991-2025,
138,LEBANON,LBN,39.1,84.37,69.28,2,1991-2025,
139,LIBYA,LBY,41.02,86.33,72.03,2,1991-2025,
140,SAINT LUCIA,LCA,45.68,79.72,69.02,2,1991-2025,
141,SRI LANKA,LKA,44.62,88.1,73.92,2,1991-2025,
142,LESOTHO,LSO,36.71,71.42,62.18,2,1991-2025,
143,MOROCCO,MAR,48.76,86.33,71.49,2,1991-2025,
144,MADAGASCAR,MDG,40.92,68.01,58.39,2,1991-2025,
